File: log_2011.12.19 19:28:42.txt, 거리: 0.5991156394180834
File: log_2011.12.19 19:54:34.txt, 거리: 0.609604173106599
File: log_2011.12.19 19:57:34.txt, 거리: 0.5386598284947839
File: log_2011.12.19 20:56:00.txt, 거리: 0.5370757610795943
File: log_2011.12.19 20:58:00.txt, 거리: 0.5370757610795943
File: log_2011.12.19 21:00:00.txt, 거리: 0.5370757610795943
File: log_2011.12.20 01:59:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:01:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:03:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:05:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 02:06:14.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:09:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:11:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:13:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:19:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:21:14.txt, 거리: 0.9875781335701138
File: log_2011.12.20 02:23:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:29:34.txt, 거리: 0.5608626151816656
File: log_2011.12.20 02:29:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:30:54.txt, 거리: 0.9875781335701138
File: log_2011.12.20 02:31:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:33:34.txt, 거리: 0.5608626151816656
File: log_2011.12.20 02:33:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:35:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:36:14.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:37:54.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:41:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:45:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:46:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:49:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:52:36.txt, 거리: 0.7640585750010039
File: log_2011.12.20 02:53:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:55:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 02:59:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:22:12.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:26:32.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:28:12.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:34:12.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:34:32.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:37:32.txt, 거리: 0.9875781335701138
File: log_2011.12.20 03:38:30.txt, 거리: 0.5388852621820461
File: log_2011.12.20 03:39:50.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:42:10.txt, 거리: 0.5403893888245593
File: log_2011.12.20 03:42:30.txt, 거리: 0.5403893888245593
File: log_2011.12.20 03:43:30.txt, 거리: 0.9875781335701138
File: log_2011.12.20 03:43:50.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:44:10.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:45:50.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:54:10.txt, 거리: 0.5346091024866989
File: log_2011.12.20 03:55:50.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:05:50.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:10:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:12:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:13:02.txt, 거리: 0.9875781335701138
File: log_2011.12.20 04:20:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:22:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:30:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:34:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:41:02.txt, 거리: 0.9875781335701138
File: log_2011.12.20 04:42:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:44:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:48:02.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:51:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:53:13.txt, 거리: 0.9875781335701138
File: log_2011.12.20 04:55:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:57:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 04:59:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:03:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:05:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:08:13.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:09:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:11:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:13:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:14:13.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:15:53.txt, 거리: 0.9875781335701138
File: log_2011.12.20 05:16:13.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:17:33.txt, 거리: 0.7640585750010039
File: log_2011.12.20 05:19:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:21:53.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:24:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:28:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:32:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:33:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:39:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:40:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:42:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:47:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:48:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:52:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:53:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 05:54:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:31:43.txt, 거리: 0.5021168454637811
File: log_2011.12.20 07:34:03.txt, 거리: 0.6388501456198994
File: log_2011.12.20 07:40:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:41:43.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:42:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:44:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:44:23.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:46:23.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:50:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:52:03.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:53:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:54:16.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:54:36.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:55:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:58:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 07:58:36.txt, 거리: 0.5608626151816656
File: log_2011.12.20 07:58:56.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:01:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:02:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:08:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:10:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:11:56.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:12:16.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:23:51.txt, 거리: 0.5346091024866989
File: log_2011.12.20 08:32:31.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:48:28.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:50:08.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:57:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:57:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:58:28.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:58:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 08:59:08.txt, 거리: 0.5608626151816656
File: log_2011.12.20 08:59:48.txt, 거리: 0.9875781335701138
File: log_2011.12.20 09:00:08.txt, 거리: 0.5608626151816656
