File: log_2011.12.19 19:26:02 copy.txt, 거리: 0.23288839705494535
File: log_2011.12.19 19:26:02.txt, 거리: 0.23288839705494535
File: log_2011.12.19 19:26:22.txt, 거리: 0.25028941259738624
File: log_2011.12.19 19:26:42.txt, 거리: 0.3597187553759683
File: log_2011.12.19 19:27:02.txt, 거리: 0.283322703690408
File: log_2011.12.19 19:27:22.txt, 거리: 0.20361124387241436
File: log_2011.12.19 19:27:42.txt, 거리: 0.2523002022272772
File: log_2011.12.19 19:28:02.txt, 거리: 0.2854648867957431
File: log_2011.12.19 19:28:22.txt, 거리: 0.22697947038478627
File: log_2011.12.19 19:28:42.txt, 거리: 0.5991156394180834
File: log_2011.12.19 19:29:02.txt, 거리: 0.2626219449755828
File: log_2011.12.19 19:29:22.txt, 거리: 0.4515139476862702
File: log_2011.12.19 19:29:42.txt, 거리: 0.4387764716005984
File: log_2011.12.19 19:30:02.txt, 거리: 0.3255192367708616
File: log_2011.12.19 19:30:22.txt, 거리: 0.15776545810988896
File: log_2011.12.19 19:31:04.txt, 거리: 0.08860387436049788
File: log_2011.12.19 19:31:24.txt, 거리: 0.2965642228353095
File: log_2011.12.19 19:31:44.txt, 거리: 0.2893567502547548
File: log_2011.12.19 19:32:04.txt, 거리: 0.13990543671110667
File: log_2011.12.19 19:32:24.txt, 거리: 0.19613235013241692
File: log_2011.12.19 19:32:44.txt, 거리: 0.20935891256816275
File: log_2011.12.19 19:33:04.txt, 거리: 0.3877027016695882
File: log_2011.12.19 19:33:24.txt, 거리: 0.19580196954283502
File: log_2011.12.19 19:33:44.txt, 거리: 0.30698389537207804
File: log_2011.12.19 19:34:28.txt, 거리: 0.286691667238791
File: log_2011.12.19 19:34:48.txt, 거리: 0.28349973953197605
File: log_2011.12.19 19:35:08.txt, 거리: 0.27820719759711765
File: log_2011.12.19 19:35:28.txt, 거리: 0.3433100027508349
File: log_2011.12.19 19:35:48.txt, 거리: 0.2266796289447679
File: log_2011.12.19 19:36:08.txt, 거리: 0.3900269678532271
File: log_2011.12.19 19:36:28.txt, 거리: 0.14283513143894055
File: log_2011.12.19 19:36:48.txt, 거리: 0.38269613236563893
File: log_2011.12.19 19:37:08.txt, 거리: 0.39227835269347533
File: log_2011.12.19 19:37:28.txt, 거리: 0.14908265280227662
File: log_2011.12.19 19:37:48.txt, 거리: 0.24092286725053724
File: log_2011.12.19 19:38:08.txt, 거리: 0.2536891112785171
File: log_2011.12.19 19:38:28.txt, 거리: 0.2644563401766922
File: log_2011.12.19 19:38:48.txt, 거리: 0.12367891266037512
File: log_2011.12.19 19:39:24.txt, 거리: 0.36000801815050576
File: log_2011.12.19 19:39:44.txt, 거리: 0.2688901066133317
File: log_2011.12.19 19:40:04.txt, 거리: 0.17586644800149964
File: log_2011.12.19 19:40:24.txt, 거리: 0.08748277639189572
File: log_2011.12.19 19:40:44.txt, 거리: 0.19847253710109092
File: log_2011.12.19 19:41:04.txt, 거리: 0.2462771152107175
File: log_2011.12.19 19:41:24.txt, 거리: 0.2768069590219068
File: log_2011.12.19 19:41:44.txt, 거리: 0.33820014323053105
File: log_2011.12.19 19:42:04.txt, 거리: 0.2845265309260019
File: log_2011.12.19 19:42:24.txt, 거리: 0.09244429480090344
File: log_2011.12.19 19:42:44.txt, 거리: 0.04670534701230966
File: log_2011.12.19 19:43:04.txt, 거리: 0.19715494262657807
File: log_2011.12.19 19:43:24.txt, 거리: 0.2829431404487549
File: log_2011.12.19 19:43:44.txt, 거리: 0.15738752538885992
File: log_2011.12.19 19:44:21.txt, 거리: 0.2648847602519582
File: log_2011.12.19 19:44:41.txt, 거리: 0.14420373012405907
File: log_2011.12.19 19:45:01.txt, 거리: 0.32031984187992113
File: log_2011.12.19 19:45:21.txt, 거리: 0.22895704463145783
File: log_2011.12.19 19:45:41.txt, 거리: 0.362391552929886
File: log_2011.12.19 19:46:01.txt, 거리: 0.2107636255398564
File: log_2011.12.19 19:46:21.txt, 거리: 0.16381622399122509
File: log_2011.12.19 19:46:41.txt, 거리: 0.20469236277957636
File: log_2011.12.19 19:47:01.txt, 거리: 0.12452772946645674
File: log_2011.12.19 19:47:21.txt, 거리: 0.19425922054454525
File: log_2011.12.19 19:47:41.txt, 거리: 0.2262823229507699
File: log_2011.12.19 19:48:01.txt, 거리: 0.2965642228353095
File: log_2011.12.19 19:48:21.txt, 거리: 0.2809331230590236
File: log_2011.12.19 19:48:41.txt, 거리: 0.2705156322459634
File: log_2011.12.19 19:49:01.txt, 거리: 0.18415974390301493
File: log_2011.12.19 19:49:33.txt, 거리: 0.3041056491113231
File: log_2011.12.19 19:49:53.txt, 거리: 0.37135496473627827
File: log_2011.12.19 19:50:13.txt, 거리: 0.25335665563516363
File: log_2011.12.19 19:50:33.txt, 거리: 0.3847475973857686
File: log_2011.12.19 19:50:53.txt, 거리: 0.24922277150587524
File: log_2011.12.19 19:51:13.txt, 거리: 0.28039475454243845
File: log_2011.12.19 19:51:33.txt, 거리: 0.21613694270169403
File: log_2011.12.19 19:51:53.txt, 거리: 0.23201144202441404
File: log_2011.12.19 19:52:13.txt, 거리: 0.40504421100212906
File: log_2011.12.19 19:52:33.txt, 거리: 0.2007218165756447
File: log_2011.12.19 19:52:53.txt, 거리: 0.3792191767745533
File: log_2011.12.19 19:53:13.txt, 거리: 0.3295687354107756
File: log_2011.12.19 19:53:33.txt, 거리: 0.19415270469799717
File: log_2011.12.19 19:54:14.txt, 거리: 0.2521847347677597
File: log_2011.12.19 19:54:34.txt, 거리: 0.609604173106599
File: log_2011.12.19 19:54:54.txt, 거리: 0.3702965124114359
File: log_2011.12.19 19:55:14.txt, 거리: 0.19844882104685657
File: log_2011.12.19 19:55:34.txt, 거리: 0.3578368715151182
File: log_2011.12.19 19:55:54.txt, 거리: 0.23095963266991415
File: log_2011.12.19 19:56:14.txt, 거리: 0.2870026876499233
File: log_2011.12.19 19:56:34.txt, 거리: 0.07352887349802983
File: log_2011.12.19 19:56:54.txt, 거리: 0.17067976093479986
File: log_2011.12.19 19:57:14.txt, 거리: 0.07087970272137734
File: log_2011.12.19 19:57:34.txt, 거리: 0.5386598284947839
File: log_2011.12.19 19:57:54.txt, 거리: 0.3539620761365231
File: log_2011.12.19 19:58:14.txt, 거리: 0.06823354461199715
File: log_2011.12.19 19:58:54.txt, 거리: 0.17910353836976256
File: log_2011.12.19 19:59:14.txt, 거리: 0.19147078392210803
File: log_2011.12.19 19:59:34.txt, 거리: 0.1736450899881391
File: log_2011.12.19 19:59:54.txt, 거리: 0.18437174082376095
File: log_2011.12.19 20:00:14.txt, 거리: 0.09878602442448126
